"torneo","equipo","id_partido","partido","fasepartido","local","tiempo","accuratePass","wonTackle","lostCorners","goalsConceded","saves","ontargetScoringAtt","totalScoringAtt","subsMade","totalThrows","totalYellowCard","goalKicks","totalPass","fkFoulWon","totalTackle","fkFoulLost","possessionPercentage","totalClearance","formationUsed","blockedScoringAtt","goalAssist","goals","totalOffside","shotOffTarget","wonCorners","cornerTaken","penaltyConceded","penaltyFaced","penGoalsConceded","penaltyWon","ownGoals","penaltySave","secondYellow","totalRedCard","posesion_Rival","precision_pases","precision_tiros","minutos_juego","minutos_juegorival","golesSalvados","foulsInofensivos","cortarJuegoContrario","juegoCortado"
"Primera Divisi<f3>n 2020","Uni<f3>n La Calera","6xszsf73jq5za2sb00qx4pox6","Universidad de Chile vs Uni<f3>n La Calera","Regular Season",FALSE,"fh",235,2,3,1,4,1,3,0,6,1,3,271,2,3,7,53.4,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46.6,86.7158671586716,33.3333333333333,24.03,20.97,4,6,9,8
"Primera Divisi<f3>n 2020","Universidad de Chile","6xszsf73jq5za2sb00qx4pox6","Universidad de Chile vs Uni<f3>n La Calera","Regular Season",TRUE,"fh",199,2,0,0,1,5,9,0,8,0,2,235,7,3,2,46.6,2,0,0,1,1,2,4,3,3,0,0,0,0,0,0,0,0,53.4,84.6808510638298,60,20.97,24.03,1,2,4,20
"Primera Divisi<f3>n 2020","Everton","e88gat05jrffi0pb7zedkbalm","Universidad de Chile vs Everton","Regular Season",FALSE,"fh",157,7,6,0,3,2,5,0,9,2,2,195,6,12,9,45.7,13,0,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,54.3,80.5128205128205,40,20.565,24.435,3,7,16,19
"Primera Divisi<f3>n 2020","Universidad de Chile","e88gat05jrffi0pb7zedkbalm","Universidad de Chile vs Everton","Regular Season",TRUE,"fh",192,4,1,0,2,3,9,0,12,1,3,225,5,6,6,54.3,4,0,4,0,0,0,2,6,6,0,0,0,0,0,0,0,0,45.7,85.3333333333333,33.3333333333333,24.435,20.565,2,5,10,23
"Primera Divisi<f3>n 2020","Curic<f3> Unido","35ijq76er8p2f7v0rd4s8s8kq","Universidad de Chile vs Curic<f3> Unido","Regular Season",FALSE,"fh",142,6,3,2,2,2,4,0,17,0,6,181,5,8,11,47,6,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,53,78.4530386740332,60,21.15,23.85,2,11,17,23
"Primera Divisi<f3>n 2020","Universidad de Chile","35ijq76er8p2f7v0rd4s8s8kq","Universidad de Chile vs Curic<f3> Unido","Regular Season",TRUE,"fh",168,8,1,1,2,4,7,0,9,0,4,202,10,12,5,53,7,0,1,2,2,2,2,3,3,0,0,0,0,0,0,0,0,47,83.1683168316832,66.6666666666667,23.85,21.15,2,5,13,24
"Primera Divisi<f3>n 2020","Coquimbo Unido","9o9ji2f68p2wuser85d3ah9wq","Universidad de Chile vs Coquimbo Unido","Regular Season",FALSE,"fh",190,3,0,0,2,0,1,0,13,1,1,236,5,5,10,49.5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.5,80.5084745762712,0,22.275,22.725,2,9,13,18
"Primera Divisi<f3>n 2020","Universidad de Chile","9o9ji2f68p2wuser85d3ah9wq","Universidad de Chile vs Coquimbo Unido","Regular Season",TRUE,"fh",200,5,0,0,0,2,4,0,11,0,3,245,10,6,6,50.5,4,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,49.5,81.6326530612245,50,22.725,22.275,0,6,11,24
"Primera Divisi<f3>n 2020","Santiago Wanderers","357wqv3701a2eyxu8may6xk6i","Universidad Concepci<f3>n vs Santiago Wanderers","Regular Season",FALSE,"fh",156,4,3,0,0,2,7,0,11,0,4,216,7,6,7,58.4,6,0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,41.6,72.2222222222222,37.5,26.28,18.72,0,7,11,19
"Primera Divisi<f3>n 2020","Universidad Concepci<f3>n","357wqv3701a2eyxu8may6xk6i","Universidad Concepci<f3>n vs Santiago Wanderers","Regular Season",TRUE,"fh",92,4,1,1,1,0,1,1,15,1,5,150,7,5,7,41.6,5,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,58.4,61.3333333333333,0,18.72,26.28,1,6,11,25
"Primera Divisi<f3>n 2020","Curic<f3> Unido","6yulwht5v41j7ks1pd8jgc296","Universidad Concepci<f3>n vs Curic<f3> Unido","Regular Season",FALSE,"fh",245,5,2,0,2,2,3,0,7,1,3,299,4,6,5,67.7,5,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,32.3,81.9397993311037,66.6666666666667,30.465,14.535,2,4,10,14
"Primera Divisi<f3>n 2020","Universidad Concepci<f3>n","6yulwht5v41j7ks1pd8jgc296","Universidad Concepci<f3>n vs Curic<f3> Unido","Regular Season",TRUE,"fh",90,5,2,0,2,2,8,0,12,1,1,142,4,9,7,32.3,5,0,3,0,0,0,3,2,2,0,0,0,0,0,0,0,0,67.7,63.3802816901408,25,14.535,30.465,2,6,12,18
"Primera Divisi<f3>n 2020","Cobresal","e8lh2bhu1yzkk1snzlr78qusq","Universidad Concepci<f3>n vs Cobresal","Regular Season",FALSE,"fh",140,6,1,0,1,2,7,0,17,2,2,190,5,10,6,46.3,7,0,0,0,1,3,5,1,1,0,0,0,0,0,0,0,0,53.7,73.6842105263158,37.5,20.835,24.165,1,4,12,26
"Primera Divisi<f3>n 2020","Universidad Concepci<f3>n","e8lh2bhu1yzkk1snzlr78qusq","Universidad Concepci<f3>n vs Cobresal","Regular Season",TRUE,"fh",161,8,1,1,1,1,5,0,8,0,6,223,6,14,5,53.7,12,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,46.3,72.1973094170404,20,24.165,20.835,1,5,13,16
"Primera Divisi<f3>n 2020","O'Higgins","35uxmvta1p7xfwsj4de7w16cq","Universidad Cat<f3>lica vs O'Higgins","Regular Season",FALSE,"fh",141,2,3,1,2,0,2,1,11,1,1,171,4,3,6,49.5,12,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,1,50.5,82.4561403508772,0,22.275,22.725,2,5,8,18
"Primera Divisi<f3>n 2020","Universidad Cat<f3>lica","35uxmvta1p7xfwsj4de7w16cq","Universidad Cat<f3>lica vs O'Higgins","Regular Season",TRUE,"fh",136,4,2,0,0,4,5,0,9,0,2,170,6,5,4,50.5,5,0,0,0,1,5,1,3,3,0,0,0,0,0,0,0,0,49.5,80,83.3333333333333,22.725,22.275,0,4,8,23
"Primera Divisi<f3>n 2020","Deportes Iquique","9otzyoawtogytbhzdg1jyjlnu","Universidad Cat<f3>lica vs Deportes Iquique","Regular Season",FALSE,"fh",62,4,4,2,1,2,6,1,5,2,3,93,7,6,9,23.6,5,0,2,0,0,1,2,3,3,1,1,1,0,0,0,1,1,76.4,66.6666666666667,33.3333333333333,10.62,34.38,1,7,13,16
"Primera Divisi<f3>n 2020","Universidad Cat<f3>lica","9otzyoawtogytbhzdg1jyjlnu","Universidad Cat<f3>lica vs Deportes Iquique","Regular Season",TRUE,"fh",269,2,3,0,2,3,8,0,5,0,5,304,7,2,7,76.4,2,0,2,1,2,0,3,4,4,0,0,0,1,0,0,0,0,23.6,88.4868421052632,50,34.38,10.62,2,7,9,16
"Primera Divisi<f3>n 2020","Universidad Cat<f3>lica","9q5w4ab1jy7mwga65wmmnrl2i","Uni<f3>n La Calera vs Universidad Cat<f3>lica","Regular Season",FALSE,"fh",182,5,1,1,5,2,2,0,5,2,2,220,10,7,11,52.3,2,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,47.7,82.7272727272727,100,23.535,21.465,5,9,16,17
"Primera Divisi<f3>n 2020","Uni<f3>n La Calera","9q5w4ab1jy7mwga65wmmnrl2i","Uni<f3>n La Calera vs Universidad Cat<f3>lica","Regular Season",TRUE,"fh",176,6,2,1,1,5,8,0,5,2,4,205,10,8,11,47.7,4,0,1,0,1,3,2,1,1,0,0,0,0,0,0,0,0,52.3,85.8536585365854,66.6666666666667,21.465,23.535,1,9,17,19
"Primera Divisi<f3>n 2020","Uni<f3>n Espa<f1>ola","353ut94dtlsaju9om9mhat65m","Uni<f3>n La Calera vs Uni<f3>n Espa<f1>ola","Regular Season",FALSE,"fh",154,3,0,1,2,2,8,1,12,2,4,188,5,5,6,44.4,2,0,2,0,0,2,4,3,3,1,1,1,0,0,0,0,0,55.6,81.9148936170213,25,19.98,25.02,2,4,9,22
"Primera Divisi<f3>n 2020","Uni<f3>n La Calera","353ut94dtlsaju9om9mhat65m","Uni<f3>n La Calera vs Uni<f3>n Espa<f1>ola","Regular Season",TRUE,"fh",203,4,3,0,2,3,6,0,7,1,8,245,5,4,6,55.6,12,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,44.4,82.8571428571429,57.1428571428571,25.02,19.98,2,5,10,12
"Primera Divisi<f3>n 2020","La Serena","6yfvv7k87kyjyu96eb4rmzqei","Uni<f3>n La Calera vs La Serena","Regular Season",FALSE,"fh",113,7,5,1,1,4,6,1,6,1,7,155,4,8,6,35.2,7,0,1,1,1,4,1,3,3,0,0,0,0,0,0,0,0,64.8,72.9032258064516,71.4285714285714,15.84,29.16,1,5,13,17
"Primera Divisi<f3>n 2020","Uni<f3>n La Calera","6yfvv7k87kyjyu96eb4rmzqei","Uni<f3>n La Calera vs La Serena","Regular Season",TRUE,"fh",252,6,3,1,3,2,7,0,10,0,3,285,6,9,4,64.8,2,0,0,1,1,0,5,5,5,0,0,0,0,0,0,0,0,35.2,88.4210526315789,37.5,29.16,15.84,3,4,10,21
"Primera Divisi<f3>n 2020","Coquimbo Unido","e80gzl00z62u0g1cxlfftvnmy","Uni<f3>n La Calera vs Coquimbo Unido","Regular Season",FALSE,"fh",82,7,6,1,4,0,2,1,8,1,8,125,2,11,8,31.2,8,0,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,68.8,65.6,0,14.04,30.96,4,7,15,13
"Primera Divisi<f3>n 2020","Uni<f3>n La Calera","e80gzl00z62u0g1cxlfftvnmy","Uni<f3>n La Calera vs Coquimbo Unido","Regular Season",TRUE,"fh",237,5,2,0,0,5,13,0,11,0,2,280,7,7,3,68.8,3,0,4,1,1,2,4,6,6,0,0,0,0,0,0,0,0,31.2,84.6428571428571,42.8571428571429,30.96,14.04,0,3,8,26
"Primera Divisi<f3>n 2020","Palestino","6y4yw6xt5aibhzt7g9vgdtfu2","Uni<f3>n Espa<f1>ola vs Palestino","Regular Season",FALSE,"fh",107,7,4,0,1,1,4,0,8,2,2,149,5,10,10,35,16,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,65,71.8120805369127,40,15.75,29.25,1,8,17,13
"Primera Divisi<f3>n 2020","Uni<f3>n Espa<f1>ola","6y4yw6xt5aibhzt7g9vgdtfu2","Uni<f3>n Espa<f1>ola vs Palestino","Regular Season",TRUE,"fh",224,7,0,1,0,1,4,1,19,0,4,274,10,9,6,65,8,0,2,0,0,0,1,4,4,0,0,0,0,0,0,1,1,35,81.7518248175183,25,29.25,15.75,0,6,13,33
"Primera Divisi<f3>n 2020","Huachipato","e9hmyaml8l8lvehcm4vtgffxm","Uni<f3>n Espa<f1>ola vs Huachipato","Regular Season",FALSE,"fh",71,4,3,3,2,2,2,0,17,2,2,105,5,6,10,32.2,6,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,67.8,67.6190476190476,100,14.49,30.51,2,8,14,23
"Primera Divisi<f3>n 2020","Uni<f3>n Espa<f1>ola","e9hmyaml8l8lvehcm4vtgffxm","Uni<f3>n Espa<f1>ola vs Huachipato","Regular Season",TRUE,"fh",202,2,0,2,0,4,5,0,12,1,2,237,10,4,7,67.8,9,0,0,1,3,1,1,3,3,1,1,1,0,0,0,0,0,32.2,85.2320675105485,87.5,30.51,14.49,0,6,9,26
